date,stock,total_news,avg_sentiment_score,total_sentiment_score,positive_count,neutral_count,negative_count
2024-07-25,BBCA,4,1.925,7.7,3,1,0
2024-07-26,BBCA,3,0.8333333333333334,2.5,3,0,0
2024-07-27,BBCA,2,-0.75,-1.5,0,0,2
2024-07-29,BBCA,2,2.25,4.5,2,0,0
2024-07-31,BBCA,6,-0.27777777777777785,-1.666666666666667,3,0,3
2024-08-01,BBCA,4,-1.25,-5.0,1,1,2
2024-08-02,BBCA,1,-1.3333333333333333,-1.3333333333333333,0,0,1
2024-08-04,BBCA,2,3.25,6.5,2,0,0
2024-08-05,BBCA,4,0.5,2.0,2,0,2
2024-08-06,BBCA,1,-3.0,-3.0,0,0,1
2024-08-07,BBCA,2,-0.3333333333333333,-0.6666666666666666,0,1,1
2024-08-08,BBCA,2,-0.375,-0.75,1,0,1
2024-08-10,BBCA,1,0.0,0.0,0,1,0
2024-08-11,BBCA,2,2.75,5.5,2,0,0
2024-08-12,BBCA,4,0.9166666666666666,3.6666666666666665,2,2,0
2024-08-13,BBCA,5,0.8,4.0,2,2,1
2024-08-14,BBCA,1,1.0,1.0,1,0,0
2024-08-15,BBCA,3,1.222222222222222,3.6666666666666665,2,1,0
2024-08-16,BBCA,2,2.0416666666666665,4.083333333333333,2,0,0
2024-08-18,BBCA,1,3.0,3.0,1,0,0
2024-08-19,BBCA,1,3.0,3.0,1,0,0
2024-08-20,BBCA,3,-1.5,-4.5,0,1,2
2024-08-21,BBCA,2,-1.0,-2.0,0,0,2
2024-08-22,BBCA,1,0.5,0.5,1,0,0
2024-08-23,BBCA,4,1.4166666666666667,5.666666666666667,3,1,0
2024-08-24,BBCA,1,-3.0,-3.0,0,0,1
2024-08-25,BBCA,1,0.6666666666666666,0.6666666666666666,1,0,0
2024-08-26,BBCA,3,-0.6666666666666666,-2.0,1,0,2
2024-08-27,BBCA,1,1.0,1.0,1,0,0
2024-08-28,BBCA,2,2.875,5.75,2,0,0
2024-08-29,BBCA,5,1.7166666666666668,8.583333333333334,4,1,0
2024-08-30,BBCA,6,1.4166666666666667,8.5,4,1,1
2024-08-31,BBCA,2,1.5,3.0,2,0,0
2024-09-03,BBCA,1,3.0,3.0,1,0,0
2024-09-04,BBCA,2,1.0,2.0,1,0,1
2024-09-06,BBCA,1,1.0,1.0,1,0,0
2024-09-08,BBCA,1,0.8,0.8,1,0,0
2024-09-11,BBCA,1,-1.25,-1.25,0,0,1
2024-09-13,BBCA,1,2.0,2.0,1,0,0
2024-09-14,BBCA,2,0.8333333333333334,1.6666666666666667,1,1,0
2024-09-15,BBCA,1,-0.5,-0.5,0,0,1
2024-09-16,BBCA,1,-0.25,-0.25,0,0,1
2024-09-17,BBCA,2,-0.6666666666666666,-1.3333333333333333,1,0,1
2024-09-18,BBCA,4,1.1875,4.75,2,0,2
2024-09-19,BBCA,4,2.8125,11.25,4,0,0
2024-09-20,BBCA,2,1.75,3.5,2,0,0
2024-09-21,BBCA,1,4.0,4.0,1,0,0
2024-09-22,BBCA,1,-2.0,-2.0,0,0,1
2024-09-23,BBCA,4,0.08333333333333331,0.33333333333333326,2,1,1
2024-09-24,BBCA,3,2.111111111111111,6.333333333333334,2,1,0
2024-09-25,BBCA,4,1.3541666666666667,5.416666666666667,4,0,0
2024-09-26,BBCA,6,0.875,5.25,5,0,1
2024-09-27,BBCA,1,1.0,1.0,1,0,0
2024-09-30,BBCA,4,-0.75,-3.0,1,2,1
2024-10-01,BBCA,5,0.7666666666666667,3.8333333333333335,3,1,1
2024-10-02,BBCA,3,1.3333333333333333,4.0,2,1,0
2024-10-04,BBCA,4,0.1875,0.75,2,1,1
2024-10-05,BBCA,1,2.0,2.0,1,0,0
2024-10-08,BBCA,2,-1.3333333333333333,-2.6666666666666665,1,0,1
2024-10-09,BBCA,2,1.1666666666666667,2.3333333333333335,1,1,0
2024-10-10,BBCA,3,1.9444444444444444,5.833333333333333,3,0,0
2024-10-11,BBCA,3,1.0,3.0,1,2,0
2024-10-12,BBCA,1,0.0,0.0,0,1,0
2024-10-13,BBCA,1,-0.8,-0.8,0,0,1
